symbol,created_at,body,followers,sentiment,raw_compound,compound_bin,sentiment_number,modified_rating,modified?
INTC,2021-03-05T20:51:14Z,$AMD common follow ur sibs $INTC $MU,48,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-05T20:06:56Z,$ITT $INTC $ADBE $OPTT $GLBS  .  . ,575,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-05T19:57:20Z,$INTC Should be thankful we are in this bull market within Dow a couple of % reaching its ATH! 🙏,21,Bullish,0.6996,1.0,1.0,0,No
INTC,2021-03-05T19:52:43Z,@ButterFingerDROPs $INTC had its sell off back in October. Still probably the most undervalued semi stock out there.,77,None,0.0,0.0,0.0,0,No
INTC,2021-03-05T19:36:13Z,$AMD At this rate  this will be left behind by $INTC as well  just like how $MU flew by us -:(,11,None,0.5574,1.0,0.0,0,No
INTC,2021-03-05T19:27:49Z,I sold all my $AMD shares and moved the money over to $INTC..Said no one ever. ,134,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-05T17:59:24Z,$INTC this is a real 💎 we just don’t tell others 🤫,21,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-05T17:55:23Z,$INTC $intc i hope that they will be bankrupted very soon. This company is trash. Only reason they are up is that citadel is backing them up relentlessly.,1,None,0.4588,1.0,0.0,0,No
INTC,2021-03-05T17:18:29Z,$INTC keeping the portfolio respectable today on another rough trading day.  Thank goodness value is in vogue again!,8,Bullish,0.8777,1.0,1.0,0,No
INTC,2021-03-05T17:10:52Z,$VZ and $INTC LEAPS I added on dip are saving my ass just a little bit. Just a little bit. Maybe in should knock on wood (just not Cathie Wood... yeesh).,68,None,-0.5423,-1.0,0.0,0,No
INTC,2021-03-05T16:38:58Z,$INTC People wants to compare this to $AMD   but even though they&#39;re both Tech. INTC in fact is a Dividend stock (value no growth). Yielding 2.36% Plus price appreciation is a better investment,5,Bullish,0.7579,1.0,1.0,0,No
INTC,2021-03-05T16:34:59Z,@FuutesRipping $INTC holding up very well in this market. just FYI and something for you to keep an eye on.,183,None,0.6028,1.0,0.0,0,No
INTC,2021-03-05T16:26:43Z,$INTC $TSN $NUS greenage,91,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-05T16:20:24Z,@TraderLeibniz @Uncle_Covid @Stock__Twists @Jamz83 @AllJackedUp @M_89 @denseanddumb @Oliwood @Jabba_Hutt @grifmaster $INTC is holding up well in this market.,183,None,0.2732,1.0,0.0,0,No
INTC,2021-03-05T16:13:29Z,$INTC this has to be a meg options pin. No other explanation,36,None,-0.296,-1.0,0.0,0,No
INTC,2021-03-05T16:04:50Z,$INTC this is up...wow...,46,None,0.0,0.0,0.0,0,No
INTC,2021-03-05T15:41:40Z,$INTC .E: 64.51.TP: 73. 58.SL: 59.98,11,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-05T15:39:51Z,$INTC boomer stock says fuck the broader market,0,None,-0.5423,-1.0,0.0,0,No
symbol,created_at,body,followers,sentiment,0.0,0.0,0.0,0,No
INTC,2021-03-04T23:21:00Z,@Equalipty @anon101010 Hahahahaha@Shintel. Ever since $INTC (aka Shintel) had the new CEO  the stock has been doing reasonably well; it was able to recover from the fat earnings report dip. $AMD  on the other hand  has been regressing pre and post earnings.,12,None,0.6486,1.0,0.0,0,No
INTC,2021-03-04T23:04:18Z,$AMD I think $INTC will be trading higher than $AMD within the next few months. Never thought it will ever happen but it&#39;s a near term possibility.,12,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-04T22:46:33Z,$INTC I am going to hope on now.,2,None,0.4404,1.0,0.0,0,No
INTC,2021-03-04T22:32:54Z,$AMD $NVDA $INTC $TSM All the tech money gonna flow to commodity $CLF,151,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-04T21:31:07Z,$INTC This looks like a great stock to watch over the next few weeks. Don&#39;t rush to buy  as it could fall a bit more with the $SPY. This is a long-term investment to hold until 2022+.,2,Bullish,0.765,1.0,1.0,0,No
INTC,2021-03-04T21:10:53Z,$BBBY $INTC $PLTR hey guys why’s everyone saying market is crashing I didn’t notice anything,18,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-04T20:58:08Z,$AMD $INTC is only down 9% from its highs  AMD is down 23%,1,None,0.0,0.0,0.0,0,No
INTC,2021-03-04T20:56:01Z,$INTC keep shorting $QQQ $SPY,33,Bearish,0.0,0.0,-1.0,0,No
INTC,2021-03-04T20:38:45Z,Seemed like $INTC was destined to retest the prior day&#39;s VWAP once it started to reverse around 10:15  and that&#39;s exactly what we got. Clean rejection and it rolled off a cliff about 30 minutes later.,44,None,0.1779,1.0,0.0,0,No
INTC,2021-03-04T20:35:50Z,$LTNC Beautiful thread here  read! $CTRM $INTC $QQQ,23,Bullish,0.636,1.0,1.0,0,No
INTC,2021-03-04T19:50:48Z,$INTC  Selling half of my short position here. Possibility of reaction tomorrow.,16,None,0.0,0.0,0.0,0,No
INTC,2021-03-04T13:34:47Z,$INTC  Trading is easy with Buy and Short signals in real time.,160,None,0.4404,1.0,0.0,0,No
INTC,2021-03-04T11:43:25Z,$NLST $INTC settlement was $2.18 billion without 3 X treble and damages and the case was not as big or longstanding as ours!!!,66,Bullish,0.5076,1.0,1.0,0,No
INTC,2021-03-04T10:25:55Z,$INTC gg they lost that case😂,12,Bearish,-0.0258,0.0,-1.0,0,No
INTC,2021-03-04T08:51:39Z,$AMD ↗️ + $XLNX ..WoW 😳 ⤵️.$INTC FINED $2.18B for patent infringement,46,Bullish,-0.4767,-1.0,1.0,0,No
INTC,2021-03-04T08:08:41Z,$INTC Uh  not too pleasant. It&#39;s going to follow the NASDAQ to a degree although it&#39;s so much cheaper. Saving some powder in case it gets really tempting.  . .Love the pricing aggressiveness and supply in the consumer space. They want to change the eroding share narrative before returning to class leading product in 3Q.,3,Bullish,0.3562,1.0,1.0,0,No
INTC,2021-03-04T08:06:29Z,$INTC $AMD Mark Papermaster said will put Zen 5 out  faster,0,Bearish,0.0,0.0,-1.0,0,No
INTC,2021-03-04T04:53:13Z,@Just_Bulleeve it all depends the names you holding ... some tech still at fair value .. boring stocks like $IBM $CSCO $INTC   But if you holding hype stocks like $TSLA $NIO be prepared for more downside ... most of my portafolio now is on energy and small cap ... sold most hype stocks in September .. a little early but I got in with energy at a great level ... up 20% just past month,71,Bearish,0.9162,1.0,-1.0,0,No
INTC,2021-03-04T00:32:49Z,$INTC at least intc is considered valueish...so we good with raising rate. Low PE and high dividend will get love. Once PE get high enough  it will become growth...hold tight until that happens and get rewarded. Nice and slow.,21,Bullish,0.9001,1.0,1.0,0,No
INTC,2021-03-04T00:14:26Z,$INTC dump Intel buy $AMD,0,Bearish,-0.3818,-1.0,-1.0,0,No
INTC,2021-03-03T23:40:17Z,$INTC so AMD and NVDA are down 4% but Intel 2.5% though there is that patent 2B news.,263,None,0.0,0.0,0.0,0,No
INTC,2021-03-03T22:44:11Z,$INTC 10th-11th Gen gang wya 🙌🏿,5,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-03T22:29:15Z,$INTC WTF!,1,None,-0.6239,-1.0,0.0,0,No
INTC,2021-03-03T22:24:34Z,$CLA ouster aint playing around first bass now sundari mitra on the board name sound familiar $INTC,229,Bullish,-0.1511,-1.0,1.0,0,No
INTC,2021-03-03T18:10:29Z,$AMD This is just so undervalued moving forward its not even fkin funny. ..They are essentially both $INTC and $NVDA combined. ..Their GPUs and CPUs are outmatching both companies for the first time in TWENTY YEARS. ..This train is just getting started.,5,Bullish,-0.3412,-1.0,1.0,0,No
INTC,2021-03-03T17:31:55Z,$AMD how fast until the new card sells out? Expecting a news release within the month? Opinions  make money money!!!!!! Get your shares while u still can at again 3 month low discount prices. Stimulus coming soon these stocks hitting bottom are going to rocket back up in next couple weeks so now is the time to buy when everybody is shorting and giving there shares away!!!! $NVDA $INTC $TSM $CRM all very necessary for the advancement of our new green  work from home  future! Profit margins because of supply and demand are going to go sky high on chips.,4,Bullish,0.8238,1.0,1.0,0,No
INTC,2021-03-03T16:51:32Z,$INTC let’s see if 20 ma holds up. Either way  long from 45 last year and hold out at least one year...,21,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-03T16:40:44Z,$INTC range bound 60-63 ish? I can live with that,10,None,0.0,0.0,0.0,0,No
INTC,2021-03-03T15:58:04Z,$INTC Meh  let my puts go for 200% return from Monday 🥳..Let’s reverse this.,223,Bullish,-0.0772,0.0,1.0,0,No
INTC,2021-03-03T15:13:50Z,$AMD Which stock gets to 70 first? This or $INTC?,27,None,0.0,0.0,0.0,0,No
INTC,2021-03-03T14:53:21Z,$INTC what did I say yesterday. .Despite the 2B news  this will be bullish. $66 will be coming. Watch it happening.,65,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-03T14:48:09Z,$INTC Vix spiking and this heading up after all the doom and gloom so far 😆,223,None,-0.743,-1.0,0.0,0,No
INTC,2021-03-03T13:06:30Z,$INTC premarket signals  blood bath coming.?,263,None,0.0,0.0,0.0,0,No
INTC,2021-03-03T12:26:41Z,$INTC most likely knew it would get sued for patent infringement but knew the benefit would far outweigh the cost.,2,Bullish,0.4497,1.0,1.0,0,No
INTC,2021-03-03T11:59:19Z,$INTC apple already have 5nm chips   while intel still struggling launching 10nm. microsoft will follow soon.,3,Bearish,-0.4215,-1.0,-1.0,0,No
INTC,2021-03-03T11:41:57Z,$INTC $AMD my bad! Zen 5 also on track..so Zen 4 is completed.Zen 5 is completed.Zen 6 &amp; 7 Are on the work.at this rate Intel can run out of gas,0,Bearish,-0.5848,-1.0,-1.0,0,No
INTC,2021-03-03T11:27:07Z,$AMD $INTC,228,None,0.0,0.0,0.0,0,No
INTC,2021-03-02T21:21:17Z,@kdsdawg Keep it coming. Post on the $INTC page as well and reference $NLST.,143,Bullish,0.2732,1.0,1.0,0,No
INTC,2021-03-02T21:07:09Z,$INTC .Every once in a while patents get enforced.  Many  many times more patents get stolen.,197,None,-0.5367,-1.0,0.0,0,No
INTC,2021-03-02T21:00:08Z,$INTC Huge Trade - $219 400 077.3 582 627 shares at $61.24,862,None,0.5423,1.0,0.0,0,No
INTC,2021-03-02T20:54:58Z,$HCMC $INTC  Intel just lost a 2.18 billion dollar patent lawsuit to a company that hold multiple patents. Sound familiar? Jury Trial = Billion dollar payday for HCMC!,0,None,-0.5411,-1.0,0.0,0,No
INTC,2021-03-02T20:40:26Z,$INTC  to 100 before $AMD ...,11,Bearish,0.0,0.0,-1.0,0,No
INTC,2021-03-02T20:39:35Z,$AMD Going to finish below $INTC who has to pay 2.2 billion dollars. laughable,1,None,-0.0516,0.0,0.0,0,No
INTC,2021-03-02T20:36:01Z,$NLST Thank God my Baby $NLST holding strong cause $HCMC destroyed one of my smaller accounts... it was all play money  but damn... 4 years investing now and $HCMC was the first ticker to royally kick my ass. If you healthy choicers want to see a real lawsuit win... look at what just happened to $INTC having to pay $2.1 Billion for patent infringement. The exact same thing is bout to happen with Netlist Vs $GOOG,45,Bullish,-0.7003,-1.0,1.0,0,No
INTC,2021-03-02T20:35:24Z,$INTC Intel has over 35B in debt and they have to paid this 2b on top. Is INtel cheap? nope,0,Bearish,-0.1779,-1.0,-1.0,0,No
INTC,2021-03-02T20:09:25Z,$NLST we may very well still hit $1.50  as many on the sideline finally join in before the close !!   . .With news spreading that $INTC just got hit for $2.18B for patent infringement in Texas and  $NLST v. $GOOGL  on deck this many truly go ballistic !    $5.00 just became a much nearer term target.,22,Bullish,0.645,1.0,1.0,0,No
INTC,2021-03-02T19:30:07Z,$INTC why would a 2b charge hurt intc? They have like 50b in cash lol,15,None,0.2263,1.0,0.0,0,No
INTC,2021-03-02T19:26:54Z,$INTC Still holding my puts this time 😆.,223,None,0.0,0.0,0.0,0,No
INTC,2021-03-02T19:21:43Z,$INTC but it’s not dropping lol,9,None,-0.4585,-1.0,0.0,0,No
INTC,2021-03-02T19:17:10Z,$INTC Back to mid 50s,25,Bearish,0.0,0.0,-1.0,0,No
INTC,2021-03-02T19:08:16Z,$INTC this is about to sell off big time!!,7,Bearish,0.0,0.0,-1.0,0,No
INTC,2021-03-02T00:25:35Z,$INTC What kind of idiot is putting out these news alerts?..In sympathy? 😆😆😆,223,Bullish,-0.3513,-1.0,1.0,0,No
INTC,2021-03-02T00:07:55Z,$SPY $NDX $UVXY $MSFT $INTC,77,None,0.0,0.0,0.0,0,No
INTC,2021-03-01T23:47:27Z,$FUAPF $INTC $SSNLF $NVDA $CGC ..with massive news releases in the last week  and much much more to come  @scherfcom has stated over the next few weeks .75 up from the current .36! This is the short term jump that will lead to over 1$ US most likely by June. The company recently had a new valuation at 2billion and now the 3-5$ 1-3 year is now 10$ US 2-3. Along with the Morningstar undervalued fair value of .54c the .36 is extremely low  and won’t last much longer. It’s been a straight climb over the past few weeks. @APPMAN15 team is locked and loaded  this is a last call for anyone to get into this in the .30s  life changing stock here.,21,Bullish,0.5422,1.0,1.0,0,No
INTC,2021-03-01T21:44:46Z,$INTC this will run to over 70$ similar to WDC when it breakout,5,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-01T21:12:03Z,$AAPL $BA $INTC $GE $SPY .Never get too bullish..........,211,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-01T21:01:02Z,$INTC Huge Trade - $208 865 603.3 321 654 shares at $62.88,862,None,0.5423,1.0,0.0,0,No
INTC,2021-03-01T20:54:05Z,$INTC very suspicious Intel has no review before they put Rocketlake on sale this mean the CPU pretty sure is space heater.,0,Bearish,0.1298,1.0,-1.0,0,No
INTC,2021-03-01T19:53:38Z,$INTC Heading up a lot more  can&#39;t wait to hear about Intel discrete GPUs!,10,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-01T18:01:29Z,$INTC If this breaks out....  Wow... just wow...,739,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-01T12:20:11Z,$INTC today divvies are gonna hit people&#39;s accounts. Most people DRIP so expecting a good green day,6,None,0.4902,1.0,0.0,0,No
INTC,2021-03-01T11:46:53Z,$INTC very strong performance in past week. forming a new base around $60 and ready to leap forward.,8,Bullish,0.7264,1.0,1.0,0,No
INTC,2021-03-01T09:42:42Z,$INTC ,14,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-01T09:13:35Z,$AMD $INTC EPYC Genoa.5nm and 96 cores 👌🏼👌🏼💪🏼💪🏼,150,Bullish,0.0,0.0,1.0,0,No
INTC,2021-03-01T08:36:34Z,$INTC 67.5C @ 2.67 Exp:18-Jun-21 ↑   Total(Day): $119 349.$INTC 90C @ 2.50 Exp:17-Jun-22 ↑   Total(Day): $75 000,370,None,0.0,0.0,0.0,0,No
INTC,2021-03-01T06:14:51Z,$INTC Trading is easy with Buy and Short signals in real time.,164,None,0.4404,1.0,0.0,0,No
INTC,2021-03-01T04:52:07Z,$INTC #1 analyst on tip ranks Quinn Bolton has a price target of 70. His success rate is 79 percent and he averages a 45 percent return,0,None,0.5719,1.0,0.0,0,No
INTC,2021-03-01T03:40:24Z,$INTC lol AMD Genoa up to 96 trash Intel next gen alderlake server chip. possibly up to 128 cores! go brrr,0,Bearish,0.4753,1.0,-1.0,0,No
INTC,2021-03-01T00:31:20Z,$POETF I’m up to date on all of the Poet videos.  I love how they are calm &amp; collected. No selling. No pumping. I’ve looked at $INTC and $MVIS and others.  I’m giddy.  Good giddy.,33,Bullish,0.5859,1.0,1.0,0,No
INTC,2021-02-28T22:41:55Z,$INTC ..When will new CEO update us on guidance?  They provided guidance on last call but said Gelsinger would be giving for the rest of they year,3,Bullish,0.4767,1.0,1.0,0,No
INTC,2021-02-28T18:27:23Z,$INTC  finally ready to move  and the support is here with it..,6590,None,0.6369,1.0,0.0,0,No
INTC,2021-02-27T06:43:11Z,$AMD Shorts will be wiped again  when AMD reaches $100+..AMD stock always recoils before the big jumps. and the jump is now imminent and certain.. ..AMD/Xilinx stock owners will be richly rewarded this year....$INTC fake marketing is so obvious and predictable that Intel will deflate with a fake whisper.. There is a reason why the Intel bean counter jumped ship like all the other Intel CEOs....Truth is Intel can&#39;t fully counter AMD surge until 2024/2025.. AMD/Xilinx new and hybrid products will cause Intel lose its leadership in the x86-64 market other areas where AMD and $XLNX  will shine for years to come...Nvidia has little chance to buy ARM  and the ability for Nvidia to become a CPU/GPU/AI/Supercomputing chiplet hybrid powerhouse...AMD Long Spartans.!!!  &quot;Come back with your AMD  shields - or on it.  Give them nothing  but take from them Shorts everything.&quot; .!!..&quot;No place for weakness these coming years. Only the hard and strong may call themselves AMD Long Spartans.&quot;..!!..$GS $C,60,Bullish,0.5059,1.0,1.0,0,No
INTC,2021-02-27T06:04:28Z,$INTC looking for a move back to $63 🙏🙏🙏,5,Bullish,0.0,0.0,1.0,0,No
INTC,2021-02-27T05:27:54Z,$NLST versus SK Hynix is the new $AMD versus $INTC... They have money... We&#39;ve got the brains 🧠🧠🧠... Brain wins... 😄😄😄,66,Bullish,0.0,0.0,1.0,0,No
